10024	1
10026	1
10029	1
10031	1
10034	2
10035	5
10036	3
10037	2
10038	3
10039	10
10040	33
10041	98
10042	165
10043	30
10044	5
10045	1
10052	2
10054	1
10059	1
10060	2
10061	1
10062	1
10068	1
10069	3
10074	3
10076	2
10078	1
10081	1
10085	1
10086	1
10087	1
10091	1
10092	1
10097	1
10101	3
10102	3
10104	1
10105	1
10109	1
10110	4
10113	1
10120	1
10122	1
10130	1
10132	1
10139	1
10144	1
10147	1
10148	2
10149	1
10150	1
10154	2
10155	2
10156	11
10157	80
10158	57
10159	20
10160	3
10161	1
10162	2
10164	1
10166	1
10168	1
10169	3
10170	3
10171	6
10172	2
102	1
10221	1
10222	1
10223	1
10224	1
10225	8
10230	2
10234	36
10235	20
10236	20
10237	20
10238	58
10239	51
10240	74
10241	156
10242	82
10243	29
10244	10
10245	7
10246	3
10248	1
10250	1
10254	1
10255	1
10257	1
10258	1
10262	1
10265	1
1027	1
10272	1
10273	1
10275	1
10277	1
10282	1
10283	1
10284	1
10285	1
10286	1
10288	1
10293	1
10300	2
10302	5
10303	3
10305	1
10313	2
10317	1
10319	8
10320	1
10322	4
10323	1
10327	1
10328	1
10336	1
10337	1
10349	1
10350	1
10351	1
10353	1
10354	2
10356	3
10357	29
10358	90
10359	29
10360	9
10361	1
